Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Region,image_url
Brunei ,379444,5770,65.8,2.79,3.59,12.61,18600,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,36,561,403,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg
Bulgaria ,7385367,110910,66.6,0.32,-4.58,20.55,7600,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,93,304,603,EASTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg
Burkina Faso ,13902972,274200,50.7,0,0,97.57,1100,26.6,7,14.43,0.19,85.38,2,45.62,15.6,322,196,482,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg
Burundi ,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,463,203,334,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg
Cambodia ,13881427,181040,76.7,0.24,0,71.48,1900,69.4,2.6,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
Cameroon ,17340702,475440,36.5,0.08,0,68.26,1800,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,448,0.17,382,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg
Canada ,33098932,9984670,3.3,2.02,5.96,4.75,29800,97,552.2,4.96,0.02,95.02,,10.78,7.8,22,294,684,NORTHERN AMERICA                   ,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
Cape Verde ,420979,4033,104.4,23.93,-12.07,47.77,1400,76.6,169.6,9.68,0.5,89.82,3,24.87,6.55,121,219,0.66,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
Central African Rep. ,4303356,622984,6.9,0,0,91,1100,51,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg
Chad ,9944201,1284000,7.7,0,-0.11,93.82,1200,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,335,259,406,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
Chile ,16134219,756950,21.3,0.85,0,8.8,9900,96.2,213,2.65,0.42,96.93,3,15.23,5.81,0.06,493,447,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
China ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,125,473,403,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
Colombia ,43593035,1138910,38.3,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,125,342,533,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
Comoros ,690948,2170,318.4,15.67,0,74.93,700,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg
"Congo, Dem. Rep. ",62660551,2345410,26.7,0,0,94.69,700,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
"Congo, Repub. of the ",3702314,342000,10.8,0.05,-0.17,93.86,700,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,62,0.57,369,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg
Costa Rica ,4075261,51100,79.8,2.52,0.51,9.95,9100,96,340.7,4.41,5.88,89.71,2,18.32,4.36,88,299,614,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg
Croatia ,4494749,56542,79.5,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,308,622,EASTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg
Cuba ,11382820,110860,102.7,3.37,-1.58,6.33,2900,97,74.7,33.05,7.6,59.35,2,11.89,7.22,55,261,684,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
Cyprus ,784301,9250,84.8,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,37,198,765,NEAR EAST                          ,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg
Czech Republic ,10235455,78866,129.8,0,0.97,3.93,15700,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,34,393,573,EASTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
Denmark ,5450661,43094,126.5,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,18,246,735,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg
Djibouti ,486530,23000,21.2,1.37,0,104.13,1300,67.9,22.8,0.04,0,99.96,1,39.53,19.31,179,225,596,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg
Dominica ,68910,754,91.4,19.63,-13.87,14.15,5400,94,304.8,6.67,20,73.33,2,15.27,6.73,177,328,495,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg
Dominican Republic ,9183984,48730,188.5,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,112,306,582,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg
East Timor ,1062777,15007,70.8,4.7,0,47.41,500,58.6,,4.71,0.67,94.62,2,26.99,6.24,85,231,684,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg
Ecuador ,13547510,283560,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,312,618,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg
Egypt ,78887007,1001450,78.8,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,149,357,493,NORTHERN AFRICA                    ,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg
El Salvador ,6822378,21040,324.3,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,99,302,599,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg
Equatorial Guinea ,540109,28051,19.3,1.06,0,85.13,2700,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,906,62,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg
Eritrea ,4786994,121320,39.5,1.84,0,74.87,700,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,102,254,643,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg
Estonia ,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,294,666,BALTICS                            ,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg
Ethiopia ,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,475,99,426,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Fiji ,905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,89,135,776,OCEANIA                            ,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg
Finland ,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,28,295,676,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg
France ,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,22,214,764,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg
Gabon ,1424906,267667,5.3,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,61,592,348,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg
"Gambia, The ",1641564,11300,145.3,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,308,142,549,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
Georgia ,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,172,275,553,C.W. OF IND. STATES ,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
Germany ,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,9,296,695,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg
Ghana ,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,366,246,387,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
Greece ,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,54,213,733,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
Greenland ,56361,2166086,0,2.04,-8.37,15.82,20000,,448.9,0,0,100,1,15.93,7.84,,,,NORTHERN AMERICA                   ,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg
Grenada ,89703,344,260.8,35.17,-13.92,14.62,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,54,0.18,766,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg
Guatemala ,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,227,188,585,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg
Guinea ,9690222,245857,39.4,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,237,362,401,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg
Guinea-Bissau ,1442029,36120,39.9,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg
Guyana ,767245,214970,3.6,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,203,427,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg
